County,Party,Votes by Party (2012),Percentage by Party (2012),Votes by County (2012),Percentage of NC Votes (2012),Votes by Party (2016),Percentage by Party (2016),Votes by County (2016),Percentage of NC Votes (2016)
NORTHAMPTON,DEM,7232,0.6727441860465116,10750,0.0023924504501256424,6144,0.6257256339749465,9819,0.002097147994061605
NORTHAMPTON,LIB,35,0.0032558139534883722,10750,0.0023924504501256424,93,0.009471432936144211,9819,0.002097147994061605
NORTHAMPTON,REP,3483,0.324,10750,0.0023924504501256424,3582,0.36480293308890926,9819,0.002097147994061605
ONSLOW,DEM,18490,0.36050615141648307,51289,0.011414548012697125,17514,0.30964251617693855,56562,0.012080546373369232
ONSLOW,LIB,556,0.010840531108034861,51289,0.011414548012697125,1926,0.0340511297337435,56562,0.012080546373369232
ONSLOW,REP,32243,0.628653317475482,51289,0.011414548012697125,37122,0.6563063540893179,56562,0.012080546373369232
ORANGE,DEM,53901,0.7046250784354737,76496,0.017024454849563827,59923,0.7408510953958756,80884,0.017275253931324865
ORANGE,LIB,1056,0.013804643380046016,76496,0.017024454849563827,2404,0.029721576578804212,80884,0.017275253931324865
ORANGE,REP,21539,0.2815702781844802,76496,0.017024454849563827,18557,0.2294273280253202,80884,0.017275253931324865
PAMLICO,DEM,2647,0.3923225137097969,6747,0.0015015686685579265,2448,0.35841874084919473,6830,0.0014587555554986006
PAMLICO,LIB,49,0.007262487031273158,6747,0.0015015686685579265,124,0.01815519765739385,6830,0.0014587555554986006
PAMLICO,REP,4051,0.6004149992589299,6747,0.0015015686685579265,4258,0.6234260614934114,6830,0.0014587555554986006
PASQUOTANK,DEM,10282,0.5688520055325035,18075,0.004022655059164743,8615,0.4997969484248999,17237,0.0036814889473103045
PASQUOTANK,LIB,160,0.008852005532503458,18075,0.004022655059164743,442,0.025642513198352382,17237,0.0036814889473103045
PASQUOTANK,REP,7633,0.4222959889349931,18075,0.004022655059164743,8180,0.4745605383767477,17237,0.0036814889473103045
PENDER,DEM,9632,0.3936731107205624,24467,0.005445217224485962,9354,0.3379823673941321,27676,0.005911056918591401
PENDER,LIB,218,0.008909960354763559,24467,0.005445217224485962,683,0.024678421737245267,27676,0.005911056918591401
PENDER,REP,14617,0.597416928924674,24467,0.005445217224485962,17639,0.6373392108686227,27676,0.005911056918591401
PERQUIMANS,DEM,2759,0.4154494804999247,6641,0.0014779779943520366,2319,0.34830279363172123,6658,0.0014220196908506125
PERQUIMANS,LIB,60,0.009034783918084625,6641,0.0014779779943520366,162,0.024331631120456592,6658,0.0014220196908506125
PERQUIMANS,REP,3822,0.5755157355819907,6641,0.0014779779943520366,4177,0.6273655752478222,6658,0.0014220196908506125
PERSON,DEM,8418,0.4414031775994966,19071,0.004244318375288012,7833,0.402994289242167,19437,0.004151366285831084
PERSON,LIB,157,0.00823239473546222,19071,0.004244318375288012,419,0.02155682461285178,19437,0.004151366285831084
PERSON,REP,10496,0.5503644276650411,19071,0.004244318375288012,11185,0.5754488861449812,19437,0.004151366285831084
PITT,DEM,41843,0.5319070500597463,78666,0.01750739601019384,41824,0.5249193619237672,79677,0.01701746213696369
PITT,LIB,609,0.007741591030432461,78666,0.01750739601019384,2162,0.027134555768917,79677,0.01701746213696369
PITT,REP,36214,0.46035135890982126,78666,0.01750739601019384,35691,0.4479460823073158,79677,0.01701746213696369
POLK,DEM,4013,0.3874674133436323,10357,0.002304986912739654,3735,0.34663573085846866,10775,0.0023013310557097252
POLK,LIB,108,0.010427730037655692,10357,0.002304986912739654,272,0.025243619489559166,10775,0.0023013310557097252
POLK,REP,6236,0.6021048566187119,10357,0.002304986912739654,6768,0.6281206496519721,10775,0.0023013310557097252
RANDOLPH,DEM,14773,0.24393989431968296,60560,0.013477841791591528,13194,0.20606931450794197,64027,0.013674925615213603
RANDOLPH,LIB,627,0.01035336856010568,60560,0.013477841791591528,1403,0.021912630608961845,64027,0.013674925615213603
RANDOLPH,REP,45160,0.7457067371202114,60560,0.013477841791591528,49430,0.7720180548830962,64027,0.013674925615213603
RICHMOND,DEM,9904,0.5110159434497704,19381,0.004313309969663728,8501,0.4423687360149867,19217,0.004104378551979006
RICHMOND,LIB,145,0.0074815540993756775,19381,0.004313309969663728,333,0.017328407139511892,19217,0.004104378551979006
RICHMOND,REP,9332,0.4815025024508539,19381,0.004313309969663728,10383,0.5403028568455014,19217,0.004104378551979006
